City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Qaqortoq,GL,2021-03-02 05:10:48,60.7167,-46.0333,33.8,21,0,21.85
128,Sorland,NO,2021-03-02 05:10:48,67.667,12.6934,37.4,87,40,13.8
129,Punta Arenas,CL,2021-03-02 05:10:49,-53.15,-70.9167,37.4,81,0,5.75
130,East London,ZA,2021-03-02 05:08:30,-33.0153,27.9116,66.2,88,0,4.61
131,Ostrovnoy,RU,2021-03-02 05:10:49,68.0531,39.5131,25.38,92,93,21.18
132,Coxim,BR,2021-03-02 05:10:50,-18.5067,-54.76,71.91,93,18,4.79
133,Airai,TL,2021-03-02 05:10:50,-8.9266,125.4092,71.94,71,55,3.85
134,Upernavik,GL,2021-03-02 05:10:50,72.7868,-56.1549,-1.37,53,100,7.81
135,Khatanga,RU,2021-03-02 05:10:50,71.9667,102.5,-29.2,84,73,3.91
136,Harper,LR,2021-03-02 05:10:51,4.375,-7.7169,77.9,86,45,5.01
137,Sassandra,CI,2021-03-02 05:10:51,4.95,-6.0833,76.71,94,9,5.14
138,Comodoro Rivadavia,AR,2021-03-02 05:10:51,-45.8667,-67.5,57.2,67,40,13.8
139,Vilaka,LV,2021-03-02 05:10:52,57.1846,27.6722,34.18,91,91,7.54
140,Hilo,US,2021-03-02 05:10:52,19.7297,-155.09,73.4,64,90,9.22
141,Biloela,AU,2021-03-02 05:10:53,-24.4167,150.5,94.66,31,62,12.08
142,Valdosta,US,2021-03-02 05:10:53,30.8327,-83.2785,57.2,88,90,3.44
143,Cabedelo,BR,2021-03-02 05:10:53,-6.9811,-34.8339,73.4,100,20,4.61
144,Port Lincoln,AU,2021-03-02 05:10:53,-34.7333,135.8667,65.14,57,100,17.54
145,Georgetown,MY,2021-03-02 05:10:04,5.4112,100.3354,91.4,66,20,5.75
146,Araouane,ML,2021-03-02 05:10:54,18.9048,-3.5265,69.49,13,22,11.74
147,Kodiak,US,2021-03-02 05:10:54,57.79,-152.4072,35.6,60,1,3.44
148,Saint-Pierre,RE,2021-03-02 05:10:55,-21.3393,55.4781,86.0,62,0,18.41
149,Dikson,RU,2021-03-02 05:10:55,73.5069,80.5464,-20.24,85,11,11.61
150,Muros,ES,2021-03-02 05:10:55,42.7762,-9.0603,55.0,83,95,11.99
151,Khandbari,NP,2021-03-02 05:10:56,27.3747,87.2039,77.49,18,2,2.48
152,Casablanca,MA,2021-03-02 05:06:52,33.5928,-7.6192,48.2,93,75,4.61
153,Gaurela,IN,2021-03-02 05:10:56,22.75,81.9,84.74,15,0,6.49
154,Vieste,IT,2021-03-02 05:10:57,41.8825,16.175,41.0,81,0,9.22
155,Katherine,AU,2021-03-02 05:10:57,-14.4667,132.2667,91.4,55,100,9.22
156,Rio Gallegos,AR,2021-03-02 05:07:21,-51.6226,-69.2181,37.4,70,0,5.75
157,Nanortalik,GL,2021-03-02 05:10:57,60.1432,-45.2371,22.1,45,0,8.55
158,Carpinteria,US,2021-03-02 05:10:57,34.3989,-119.5185,51.01,49,1,4.76
159,Makakilo City,US,2021-03-02 05:10:58,21.3469,-158.0858,75.0,56,1,11.5
160,Namtsy,RU,2021-03-02 05:10:58,62.7161,129.6658,-20.2,69,0,4.47
161,Pringsewu,ID,2021-03-02 05:10:58,-5.3582,104.9744,87.98,64,80,2.82
162,Lerwick,GB,2021-03-02 05:10:59,60.1545,-1.1494,44.6,81,90,6.91
163,Constitucion,CL,2021-03-02 05:09:03,-35.3333,-72.4167,60.62,86,92,4.85
164,Katsuura,JP,2021-03-02 05:10:59,35.1333,140.3,69.01,86,92,11.01
165,Mehamn,NO,2021-03-02 05:11:00,71.0357,27.8492,27.46,92,100,26.62
166,Orlik,RU,2021-03-02 05:11:00,52.5178,99.825,21.83,71,82,13.78
167,Jinji,CN,2021-03-02 05:11:00,23.2281,110.8261,67.17,48,3,7.87
168,Pietarsaari,FI,2021-03-02 05:11:01,63.65,22.6833,36.0,69,0,8.05
169,Wajima,JP,2021-03-02 05:11:01,37.4,136.9,32.0,100,90,2.3
170,Cabo San Lucas,MX,2021-03-02 05:06:16,22.8909,-109.9124,64.0,51,1,11.5
171,Pitimbu,BR,2021-03-02 05:11:02,-7.4706,-34.8086,73.4,100,20,4.61
172,Deputatskiy,RU,2021-03-02 05:11:02,69.3,139.9,-25.62,88,83,1.54
173,Cajamarca,PE,2021-03-02 05:11:03,-7.1638,-78.5003,53.06,82,100,1.95
174,Lalian,PK,2021-03-02 05:11:03,31.8241,72.7997,79.38,15,0,6.76
175,Lobito,AO,2021-03-02 05:11:03,-12.3481,13.5456,75.63,83,92,0.16
176,Promissao,BR,2021-03-02 05:11:04,-21.5367,-49.8581,69.37,89,63,6.62
177,Lufilufi,WS,2021-03-02 05:11:04,-13.8745,-171.5986,80.6,94,90,12.66
178,Torbay,CA,2021-03-02 05:11:04,47.6666,-52.7314,30.99,100,90,11.5
179,Luanda,AO,2021-03-02 05:11:05,-8.8368,13.2343,78.8,83,75,4.61
180,Kiruna,SE,2021-03-02 05:11:05,67.8557,20.2251,26.6,80,0,6.91
181,Santiago,CL,2021-03-02 05:10:59,-33.4569,-70.6483,68.0,88,94,6.91
182,Tazovskiy,RU,2021-03-02 05:11:06,67.4667,78.7,-11.85,91,97,19.69
183,Barrow,US,2021-03-02 05:11:06,71.2906,-156.7887,-23.8,76,90,12.66
184,Moindou,NC,2021-03-02 05:11:06,-21.6924,165.677,84.2,70,75,13.8
185,Maumere,ID,2021-03-02 05:11:07,-8.6199,122.2111,83.23,71,19,4.63
186,Bathurst,AU,2021-03-02 05:10:55,-33.4166,149.5806,80.01,22,1,3.0
187,Port Elizabeth,ZA,2021-03-02 05:11:07,-33.918,25.5701,69.8,88,0,3.44
188,Maldonado,UY,2021-03-02 05:11:07,-34.6667,-54.9167,73.4,94,75,6.91
189,Asilah,MA,2021-03-02 05:11:08,35.465,-6.0348,53.6,100,0,11.5
190,Timbo,BR,2021-03-02 05:11:08,-26.8233,-49.2717,71.01,98,100,1.41
191,Ancud,CL,2021-03-02 05:11:08,-41.8697,-73.8203,57.0,100,90,8.05
