City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
178,Lahaina,US,20.8783,-156.6825,80.6,53,1,14.97,clear sky
179,Escalerillas,MX,22.1333,-101.0667,73.4,25,20,13.8,few clouds
180,Udachnyy,RU,66.4167,112.4,2.59,92,99,1.45,overcast clouds
181,Zabid,YE,14.1951,43.3152,81.46,47,0,1.61,clear sky
182,Airai,TL,-8.9266,125.4092,58.64,100,34,0.87,scattered clouds
183,Roebourne,AU,-20.7833,117.1333,80.28,78,0,9.98,clear sky
184,Kavieng,PG,-2.5744,150.7967,80.74,77,100,5.08,moderate rain
185,Salalah,OM,17.0151,54.0924,77.0,57,0,3.44,clear sky
186,Zalantun,CN,48.0,122.7167,16.79,89,0,1.74,clear sky
187,Ixtapa,MX,20.7,-105.2,80.6,65,1,12.66,clear sky
188,Nanortalik,GL,60.1432,-45.2371,30.33,98,100,11.34,light snow
189,Sumbe,AO,-11.2061,13.8437,79.02,83,99,8.01,overcast clouds
190,San Juan,AR,-31.5375,-68.5364,96.19,19,0,5.14,clear sky
191,Valley City,US,46.9233,-98.0032,57.2,47,1,25.32,clear sky
192,Tarauaca,BR,-8.1614,-70.7656,84.43,68,85,2.1,moderate rain
193,Cidreira,BR,-30.1811,-50.2056,74.5,68,0,7.52,clear sky
194,Port-Gentil,GA,-0.7193,8.7815,82.4,78,20,5.75,few clouds
195,Hay River,CA,60.8156,-115.7999,15.8,67,100,13.8,overcast clouds
196,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,40,9.22,scattered clouds
197,Pangnirtung,CA,66.1451,-65.7125,-5.8,84,1,3.44,clear sky
198,Omboue,GA,-1.5746,9.2618,79.18,87,0,7.45,clear sky
199,Warrington,GB,53.3925,-2.5802,42.8,81,14,2.3,few clouds
200,Eureka,US,40.8021,-124.1637,57.0,58,97,7.0,overcast clouds
201,Akureyri,IS,65.6835,-18.0878,30.2,80,0,2.3,clear sky
202,Souillac,MU,-20.5167,57.5167,77.0,88,40,5.75,scattered clouds
203,Montgomery,US,39.1501,-77.1997,46.0,28,1,4.61,clear sky
204,Nemuro,JP,43.3236,145.575,25.03,90,0,11.12,clear sky
205,Katherine,AU,-14.4667,132.2667,75.2,88,54,2.3,broken clouds
206,Meulaboh,ID,4.1363,96.1285,77.59,78,98,2.62,overcast clouds
207,Santa Maria,BR,-29.6842,-53.8069,78.8,53,0,6.91,clear sky
208,Klaksvik,FO,62.2266,-6.589,41.0,100,90,1.14,fog
209,Hithadhoo,MV,-0.6,73.0833,83.17,68,0,9.86,clear sky
210,Vanavara,RU,60.34,102.2797,17.29,97,100,8.08,overcast clouds
211,Ust-Kut,RU,56.7938,105.7672,15.42,93,97,10.38,overcast clouds
212,Shahr-E Kord,IR,32.3256,50.8644,28.4,40,0,6.91,clear sky
213,Kalmunai,LK,7.4167,81.8167,78.91,86,84,7.14,broken clouds
214,Krasnoselkup,RU,65.7,82.4667,-16.33,89,76,4.23,broken clouds
215,Veracruz,MX,19.3333,-96.6667,79.0,50,75,12.66,broken clouds
216,Baghmara,IN,23.795,86.2085,70.61,23,59,4.99,broken clouds
217,Severo-Kurilsk,RU,50.6789,156.125,15.22,91,95,26.02,light snow
218,Chegutu,ZW,-18.1302,30.1407,62.08,76,0,6.44,clear sky
219,Namatanai,PG,-3.6667,152.4333,79.48,78,100,5.21,light rain
