City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
173,Caravelas,BR,79.99,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
175,Ternate,ID,78.57,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
176,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
178,Lahaina,US,80.6,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
179,Escalerillas,MX,73.4,few clouds,22.1333,-101.0667,Hilton San Luis Potosi
181,Zabid,YE,81.46,clear sky,14.1951,43.3152,دار الضيافة
183,Roebourne,AU,80.28,clear sky,-20.7833,117.1333,Harding River Caravan Park
184,Kavieng,PG,80.74,moderate rain,-2.5744,150.7967,Nusa Island Retreat
185,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
187,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
189,Sumbe,AO,79.02,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
192,Tarauaca,BR,84.43,moderate rain,-8.1614,-70.7656,Flat Temporada
193,Cidreira,BR,74.5,clear sky,-30.1811,-50.2056,Hotel Castelo
194,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
196,Vila Franca Do Campo,PT,62.6,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
198,Omboue,GA,79.18,clear sky,-1.5746,9.2618,Hotel Olako
202,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
205,Katherine,AU,75.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
206,Meulaboh,ID,77.59,overcast clouds,4.1363,96.1285,Kost Pria
207,Santa Maria,BR,78.8,clear sky,-29.6842,-53.8069,Hotel Morotin
209,Hithadhoo,MV,83.17,clear sky,-0.6,73.0833,Scoop Guest House
213,Kalmunai,LK,78.91,broken clouds,7.4167,81.8167,VS Villa
215,Veracruz,MX,79.0,broken clouds,19.3333,-96.6667,El Carrizal
216,Baghmara,IN,70.61,broken clouds,23.795,86.2085,Shankar tea shop
218,Chegutu,ZW,62.08,clear sky,-18.1302,30.1407,Jacaranda Lodge
219,Namatanai,PG,79.48,light rain,-3.6667,152.4333,Namatanai Hotel
224,Yeppoon,AU,75.2,scattered clouds,-23.1333,150.7333,Villa Mar Colina
228,Batticaloa,LK,79.63,broken clouds,7.7102,81.6924,Grand Star Guest House
230,Simbahan,PH,81.41,overcast clouds,6.3032,120.5836,
231,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
233,Male,MV,82.4,few clouds,4.1748,73.5089,Hotel Octave Maldives
236,Etchojoa,MX,84.99,broken clouds,26.9167,-109.6333,Cuadra RT
237,San Patricio,US,70.0,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
240,Tecoanapa,MX,84.51,clear sky,16.5167,-98.75,Hotel Manglares
241,Ajdabiya,LY,62.58,clear sky,30.7554,20.2263,Almadina Hotel
243,Puerto Cabezas,NI,84.2,scattered clouds,14.0351,-83.3888,Cabaña Caribe
244,Bengkulu,ID,74.8,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
246,Padang,ID,73.4,scattered clouds,-0.9492,100.3543,Mercure Padang
248,Lebu,CL,65.1,broken clouds,-37.6167,-73.65,Hostal Las Lilas
251,Hambantota,LK,78.48,overcast clouds,6.1241,81.1185,Bungalow 63
253,Pisco,PE,78.8,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
254,Springbok,ZA,60.58,clear sky,-29.6643,17.8865,Undulata Country Lodge
259,Bozoum,CF,72.95,scattered clouds,6.3193,16.3799,
260,Mazatlan,MX,78.8,clear sky,23.2167,-106.4167,Hotel Club Playamar
266,Cockburn Town,TC,82.4,few clouds,21.4612,-71.1419,Osprey Beach Hotel
267,Surt,LY,61.3,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
269,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,Esperance,AU,62.6,broken clouds,-33.8667,121.9,Hospitality Esperance
271,Broken Hill,AU,73.4,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
272,Tupancireta,BR,74.66,clear sky,-29.0806,-53.8358,Hotel Cassino
273,Acarau,BR,80.8,heavy intensity rain,-2.8856,-40.12,castelo pizzaria
274,Guanica,PR,84.0,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
282,Sabang,ID,81.77,broken clouds,5.8933,95.3214,Hotel Citra
284,Redwater,US,66.2,clear sky,33.3582,-94.2544,Witterstaetter Properties
288,Asyut,EG,62.6,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
289,Kabinda,CD,63.95,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
290,Resistencia,AR,91.0,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
291,Natal,BR,82.4,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
292,Victoria,HK,66.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
293,Atar,MR,68.65,clear sky,20.5169,-13.0499,Oumou Elghoura
294,Ambanja,MG,74.55,heavy intensity rain,-13.6833,48.45,Hotel Salama and Fast Food
296,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
297,Conceicao Do Araguaia,BR,84.2,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
301,Poum,NC,77.47,clear sky,-20.2333,164.0167,Gîte kajeon
303,Trinidad,BO,91.4,scattered clouds,-14.8333,-64.9,Hotel Piesta
304,Ciudad Guayana,VE,88.0,broken clouds,8.3533,-62.6528,Hotel Las Americas
308,Santa Vitoria Do Palmar,BR,73.29,few clouds,-33.5189,-53.3681,Hostel Comodoro
309,Bomet,KE,60.42,overcast clouds,-0.7813,35.3416,Mosop Annex club
310,Hervey Bay,AU,80.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
312,Satuba,BR,80.6,clear sky,-9.5633,-35.8244,Wyndham Pratagy Beach Resort
316,Matara,LK,76.14,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
317,Saint George,US,69.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
318,Eyl,SO,74.39,clear sky,7.9803,49.8164,Amiin Hotel
320,Ondjiva,AO,73.35,scattered clouds,-17.0667,15.7333,SOS Motel
322,Mareeba,AU,75.99,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
324,Kencong,ID,74.62,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
325,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
326,Orange Cove,US,60.8,clear sky,36.6244,-119.3137,
328,Pokhara,NP,60.98,clear sky,28.2333,83.9833,Butterfly Lodge
329,Champerico,GT,89.6,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
330,Saldanha,ZA,60.8,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
332,Dingle,PH,73.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
333,Ballina,AU,73.4,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
337,Lake City,US,66.2,clear sky,30.1897,-82.6393,Ramada Limited Lake City
338,Tandalti,SD,78.66,clear sky,13.0167,31.8667,منزل : الهادي محمد مساعد
340,Turan,VN,75.2,scattered clouds,16.0678,108.2208,Sun River Hotel
341,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
343,Charters Towers,AU,70.61,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
344,Prescott,US,66.99,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
348,Port Macquarie,AU,70.0,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
350,Christchurch,NZ,61.0,broken clouds,-43.5333,172.6333,The George
351,Banda Aceh,ID,79.3,overcast clouds,5.5577,95.3222,Sulthan Hotel International
352,Tanete,ID,74.95,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
353,Kupang,ID,75.2,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
359,Murud,IN,74.12,clear sky,18.3258,72.965,On Point Plaza
361,Morro Bay,US,63.0,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
362,Werota,ET,75.0,scattered clouds,11.9167,37.7,Yina Hotel
365,Morehead,US,63.0,clear sky,37.2711,-87.1764,CCI Express Inn
370,Alice Springs,AU,73.4,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
371,Saurimo,AO,66.29,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
373,Mier,MX,72.0,overcast clouds,26.4333,-99.15,Mier 09
374,Ponta Delgada,PT,62.6,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
375,Chinhoyi,ZW,63.46,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
377,Mackay,AU,73.4,scattered clouds,-21.15,149.2,International Lodge Motel
378,Kearney,US,68.0,clear sky,40.6995,-99.0815,Holiday Inn Kearney
379,Atambua,ID,73.06,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
382,Nhulunbuy,AU,78.8,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
383,Labuhan,ID,77.11,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
385,Ambon,ID,75.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
389,Nishihara,JP,66.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
390,Chabahar,IR,71.92,clear sky,25.2919,60.643,هتل گدروشیا
391,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
392,Rayachoti,IN,71.65,clear sky,14.05,78.75,Swetha lodge
393,Nova Vicosa,BR,80.29,moderate rain,-17.8919,-39.3719,Pousada Porto do Sol
395,Morondava,MG,78.37,clear sky,-20.2833,44.2833,La Case Bambou
397,Iberia,US,68.0,clear sky,29.9502,-91.7507,back to back rv park
402,Constitucion,CL,70.68,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
404,Ahipara,NZ,65.17,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
407,Cairns,AU,75.99,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
408,Taoudenni,ML,73.58,clear sky,22.6783,-3.9836,
409,Tefe,BR,78.8,moderate rain,-3.3542,-64.7114,Aracati Hotel
410,Pamekasan,ID,76.73,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
413,Akyab,MM,69.53,broken clouds,20.15,92.9,Hotel Memory
414,Isangel,VU,80.6,few clouds,-19.55,169.2667,Volcano Sea View Tree House
415,Candelaria,PH,75.0,few clouds,13.9311,121.4233,Casa de Provincia
416,Corrientes,AR,91.4,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
419,Neuquen,AR,84.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
423,Dourados,BR,79.59,clear sky,-22.2211,-54.8056,Bravo City Hotel
425,Tari,NG,85.1,clear sky,12.4086,4.4914,
428,Iguape,BR,75.56,light rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
429,Yulara,AU,71.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
430,Sokolo,ML,89.67,overcast clouds,14.7328,-6.1219,
432,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
436,Angoram,PG,72.95,overcast clouds,-4.0625,144.0661,
437,Tarakan,ID,77.43,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
438,Huai Yot,TH,70.99,overcast clouds,7.7893,99.6348,สาม
439,Bodden Town,KY,80.01,broken clouds,19.2833,-81.25,Will T Place
440,Chittaurgarh,IN,67.95,clear sky,24.8833,74.6333,Hotel Radhey Heritage
441,Atoka,US,68.0,clear sky,34.4001,-96.0169,
442,Rio Grande,BR,80.6,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
443,San Jose,US,63.0,scattered clouds,37.3394,-121.895,The Westin San Jose
445,Lhokseumawe,ID,76.26,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
446,Dakar,SN,66.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
447,Saint-Paul,RE,71.01,scattered clouds,-21.0096,55.2707,Boucan Canot
448,Marsh Harbour,BS,68.68,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
451,Itarema,BR,80.55,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
453,Pandan,PH,77.77,overcast clouds,14.0453,124.1694,Bonifacio Lodge
454,Tacuarembo,UY,80.62,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
457,Ilo,PE,75.78,few clouds,-17.6394,-71.3375,Torreblanca Hotel
458,Vanimo,PG,76.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
460,Calbuco,CL,68.0,few clouds,-41.768,-73.1273,Hotel Colonial
462,Wajid,SO,76.48,scattered clouds,3.8093,43.2471,xamdihotelresturant114
467,Iracoubo,GF,78.84,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
469,San Juan De Uraba,CO,81.97,broken clouds,8.7592,-76.5297,Hotel Cerro De Zumba
471,Pontes E Lacerda,BR,82.18,clear sky,-15.2261,-59.3353,Hotel Bressan
473,San Quintin,MX,60.62,broken clouds,30.4833,-115.95,Old Mill Hotel
474,Alta Floresta,BR,82.4,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
477,Monrovia,LR,78.8,few clouds,6.3005,-10.7969,Sunset Inn
478,Adrar,MR,67.98,clear sky,20.5022,-10.0711,
479,Varadero,CU,75.2,broken clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
480,Ibra,OM,64.83,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
484,Ingleside,US,69.8,clear sky,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
485,Pedernales,DO,83.62,clear sky,18.0384,-71.744,Hotel Costa Marina
488,Bosaso,SO,75.27,few clouds,11.2842,49.1816,Red Sea Hotel
489,Buin,CL,91.0,clear sky,-33.7333,-70.75,Paihuen
490,Pokaran,IN,74.5,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
491,Samfya,ZM,67.35,moderate rain,-11.3649,29.5565,Chita Lodge Samfya
492,Diplo,PK,71.73,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
494,Lahat,ID,70.39,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
495,Koumac,NC,76.8,clear sky,-20.5667,164.2833,Le Monitel
496,Riyadh,SA,64.4,clear sky,24.6877,46.7219,InterContinental Riyadh
497,Bwanga,TZ,62.92,overcast clouds,-3.0308,31.7601,Sulilu Guest house
500,Boa Vista,BR,82.4,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
502,Kanlagay,PH,78.26,overcast clouds,5.8757,121.2915,
503,Saint-Joseph,RE,77.0,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
504,Ghanzi,BW,70.5,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
507,Kananga,CD,65.61,overcast clouds,-5.8958,22.4178,Guest House Wood Land
508,Vista Hermosa,MX,78.8,broken clouds,19.5167,-99.2167,Krystal Satélite María Bárbara
509,Isla Mujeres,MX,78.8,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
512,Bubaque,GW,76.06,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
513,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
514,Hirara,JP,70.72,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
515,Sinnamary,GF,78.35,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
517,Arlit,NE,81.81,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
518,Santa Isabel,BR,69.8,moderate rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
521,Comodoro Rivadavia,AR,62.6,scattered clouds,-45.8667,-67.5,Hotel del Mar
522,Manyana,BW,72.14,broken clouds,-23.4,21.7167,
523,Bria,CF,77.16,scattered clouds,6.5423,21.9863,
525,Gulariya,NP,66.0,clear sky,28.2333,81.3333,PUJA TRADING
527,Umm Bab,QA,61.0,clear sky,25.2142,50.8072,mike beach
528,Pattao,PH,68.68,few clouds,18.2493,121.8159,Casa Ferreras
530,Pringsewu,ID,72.48,overcast clouds,-5.3582,104.9744,Urban Style by Front One
531,Ndele,CF,77.77,clear sky,8.4109,20.6473,
532,Campoverde,PE,87.08,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
533,Sao Borja,BR,86.45,clear sky,-28.6606,-56.0044,Hotel Executivo
534,Sao Gabriel,BR,79.47,clear sky,-30.3364,-54.32,Hotel Obino
535,Niono,ML,87.21,few clouds,14.2526,-5.992999999999999,Hôtel Campement
538,Lotofaga,WS,87.8,scattered clouds,-13.9764,-171.8578,Sataoa Beach Fales
539,Carbondale,US,64.4,clear sky,37.7273,-89.2168,Best Western Saluki Inn
541,Tahta,EG,69.8,clear sky,26.7693,31.5021,El Salam Hotel
542,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
